Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,WEINSTEIN Roberto Lodovico,M,MILANO,Medicina e Chirurgia,MED/28,,TECNOLOGIE PER LA SALUTE,2008,06 - Scienze mediche
Ordinario,WEISZ Alessandro,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/04,,MEDICINA E CHIRURGIA,2008,06 - Scienze mediche
Ricercatore,WENDA Barbara,F,GENOVA,Medicina e Chirurgia,MED/17,,SCIENZE ENDOCRINOLOGICHE E METABOLICHE,2008,06 - Scienze mediche
Associato confermato,WIEL MARIN Alfredo,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/18,,Non disponibile,2008,06 - Scienze mediche
Associato confermato,WOLF Federica,F,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/04,,PATOLOGIA GENERALE,2008,06 - Scienze mediche
Ricercatore,ZAAMI Simona,F,"ROMA ""La Sapienza""",Medicina e Chirurgia II,MED/43,,"Scienze anatomiche, istologiche, medico-legali e dell'apparato locomotore",2008,06 - Scienze mediche
Ordinario,ZABUCCHI Giuliano,M,TRIESTE,Medicina e Chirurgia,MED/04,,SCIENZE DELLA VITA,2008,06 - Scienze mediche
Ricercatore,ZACCARIA Alvaro,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/22,,CHIRURGIA GENERALE E SPECIALISTICA,2008,06 - Scienze mediche
Associato confermato,ZACCARIA Marco,M,PADOVA,Medicina e Chirurgia,MED/09,,SCIENZE MEDICHE E CHIRURGICHE,2008,06 - Scienze mediche
Ordinario,ZACCHELLO Franco,M,PADOVA,Medicina e Chirurgia,MED/38,,PEDIATRIA,2008,06 - Scienze mediche
Ricercatore non confermato,ZAFFAGNINI Stefano,M,BOLOGNA,Medicina e Chirurgia,MED/33,,SCIENZE ANATOMICHE UMANE E FISIOPATOLOGIA DELL'APPARATO LOCOMOTORE,2008,06 - Scienze mediche
Ricercatore,ZAFFANELLO Marco,M,VERONA,Medicina e Chirurgia,MED/38,,SCIENZE DELLA VITA E DELLA RIPRODUZIONE,2008,06 - Scienze mediche
Ricercatore,ZAGAGLIA Carlo,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/07,,SANITA' PUBBLICA E MALATTIE INFETTIVE,2008,06 - Scienze mediche
Ricercatore,ZAGARI Rocco Maurizio,M,BOLOGNA,Medicina e Chirurgia,MED/12,,MEDICINA CLINICA,2008,06 - Scienze mediche
Ricercatore,ZAJA Francesco,M,UDINE,Medicina e Chirurgia,MED/15,,SCIENZE MEDICHE SPERIMENTALI E CLINICHE (DISM),2008,06 - Scienze mediche
