,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
19333,19333,Associato,D'AMELIO Marco,M,PALERMO,,MED/26,06/D6,"Biomedicina, Neuroscienze e Diagnostica avanzata",2024,06 - Scienze mediche
19334,19334,Ricercatore,D'AMELIO Patrizia,F,TORINO,,MED/09,06/B1,Scienze mediche,2024,06 - Scienze mediche
19335,19335,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'AMICO Alberto,M,PADOVA,,MED/27,06/E3,NEUROSCIENZE - DNS,2024,06 - Scienze mediche
19336,19336,Associato,D'AMICO Emanuele,M,FOGGIA,,MED/26,06/D6,SCIENZE MEDICHE E CHIRURGICHE,2024,06 - Scienze mediche
19337,19337,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'AMICO Francesco,M,BARI,,MED/18,06/C1,MEDICINA DI PRECISIONE E RIGENERATIVA E AREA JONICA - DIMEPRE-J,2024,06 - Scienze mediche
19338,19338,Associato,D'AMICO Francesco Enrico,M,PADOVA,,MED/18,06/C1,SCIENZE CHIRURGICHE ONCOLOGICHE E GASTROENTEROLOGICHE- DiSCOG,2024,06 - Scienze mediche
19339,19339,Ordinario,D'AMICO Roberto,M,MODENA e REGGIO EMILIA,,MED/01,06/M1,Scienze mediche e chirurgiche materno-infantili e dell'adulto,2024,06 - Scienze mediche
19340,19340,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'AMORE Simona,F,BARI,,MED/09,06/B1,MEDICINA DI PRECISIONE E RIGENERATIVA E AREA JONICA - DIMEPRE-J,2024,06 - Scienze mediche
19341,19341,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'AMURI Alessandro,M,SALENTO,,MED/08,06/A4,MEDICINA SPERIMENTALE,2024,06 - Scienze mediche
19342,19342,Ordinario,D'ANDREA Francesco,M,Napoli Federico II,,MED/19,06/E2,Sanit� Pubblica,2024,06 - Scienze mediche
19343,19343,Ricercatore,D'ANDREA Giovanna,F,FOGGIA,,MED/03,06/A1,MEDICINA CLINICA E SPERIMENTALE,2024,06 - Scienze mediche
19344,19344,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'ANDREA Luca,M,Napoli Federico II,,MED/30,06/F2,NEUROSCIENZE E SCIENZE RIPRODUTTIVE ED ODONTOSTOMATOLOGICHE,2024,06 - Scienze mediche
19345,19345,Ordinario,D'ANDREA Vito,M,"ROMA ""La Sapienza""",,MED/18,06/C1,Chirurgia,2024,06 - Scienze mediche
19346,19346,Associato,D'ANGELILLO Rolando Maria,M,"ROMA ""Tor Vergata""",,MED/36,06/I1,Biomedicina e Prevenzione,2024,06 - Scienze mediche
19347,19347,Associato,D'ANGELO Emanuela,F,CHIETI-PESCARA,,MED/08,06/A4,"Scienze Mediche, Orali e Biotecnologiche",2024,06 - Scienze mediche
19348,19348,Ricercatore a t.d. - t.defin. (L. 79/2022),D'ANGELO Emanuele,M,Univ. Telematica PEGASO,"scienze umane, della formazione e dello spor ",M-EDF/02,06/N2,"BENESSERE, NUTRIZIONE E SPORT",2024,"11 - Scienze storiche, filosofiche, pedagogiche e psicologiche"
19349,19349,Associato confermato,D'ANGELO Fabio,M,INSUBRIA,,MED/33,06/F4,Biotecnologie e Scienze della Vita,2024,06 - Scienze mediche
19350,19350,Associato,D'ANGELO Francesco,M,"ROMA ""La Sapienza""",,MED/18,06/C1,"Neuroscienze, salute mentale e organi di senso - NESMOS",2024,06 - Scienze mediche
19351,19351,Associato,D'ANGELO Salvatore,M,BASILICATA,,MED/16,06/D3,Scienze della Salute,2024,06 - Scienze mediche
19352,19352,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'ANGELO Tommaso,M,MESSINA,,MED/36,06/I1,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",2024,06 - Scienze mediche
19353,19353,Associato,D'ANNA Cristiana,F,Univ. Telematica PEGASO,"scienze umane, della formazione e dello spor ",M-EDF/01,06/N2,PSICOLOGIA E SCIENZE DELL'EDUCAZIONE,2024,"11 - Scienze storiche, filosofiche, pedagogiche e psicologiche"
19354,19354,Associato,D'ANTIGA Lorenzo,M,MILANO-BICOCCA,,MED/38,06/G1,MEDICINA E CHIRURGIA (School of Medicine and Surgery),2024,06 - Scienze mediche
19355,19355,Associato,D'ANTO' Vincenzo,M,Napoli Federico II,,MED/28,06/F1,Neuroscienze e Scienze Riproduttive ed Odontostomatologiche,2024,06 - Scienze mediche
19356,19356,Associato confermato,D'ANTONA Donato,M,PADOVA,,MED/40,06/H1,SALUTE DELLA DONNA E DEL BAMBINO - SDB,2024,06 - Scienze mediche
19357,19357,Associato,D'ANTONA Giuseppe,M,PAVIA,,M-EDF/01,06/N2,"SANITA' PUBBLICA, MEDICINA SPERIMENTALE E FORENSE (PUBLIC HEALTH, EXPERIMENTAL AND FORENSIC MEDICINE)",2024,"11 - Scienze storiche, filosofiche, pedagogiche e psicologiche"
