,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
52151,Associato confermato,CANEPA Aristide,M,GENOVA,,IUS/08,12/C1,Scienze politiche (DISPO),2023,12 - Scienze giuridiche
52152,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CANESCHI Gaia,F,MILANO,,IUS/16,12/G2,"SCIENZE GIURIDICHE ""CESARE BECCARIA""",2023,12 - Scienze giuridiche
52153,Ordinario,CANESTRARI Stefano,M,BOLOGNA,,IUS/17,12/G1,Scienze Giuridiche,2023,12 - Scienze giuridiche
52154,Ordinario,CANFORA Irene,F,BARI,,IUS/03,12/E3,Giurisprudenza,2023,12 - Scienze giuridiche
52155,Ordinario,CANGELLI Francesca,F,FOGGIA,,IUS/10,12/D1,"ECONOMIA, MANAGEMENT E TERRITORIO",2023,12 - Scienze giuridiche
52156,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CANGEMI Vincenzo,M,TORINO,,IUS/07,12/B2,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52157,Ricercatore a t.d. - t.defin. (art. 24 c.3-b L. 240/10),CANNAS Francesco,M,TORINO,,IUS/12,12/D2,"MANAGEMENT ""VALTER CANTINO""",2023,12 - Scienze giuridiche
52158,Associato,CANNIZZARO Susanna,F,SALERNO,,IUS/12,12/D2,Scienze Giuridiche (Scuola di Giurisprudenza),2023,12 - Scienze giuridiche
52159,Ordinario,CANNIZZARO Vincenzo,M,"ROMA ""La Sapienza""",,IUS/13,12/E1,Studi Giuridici ed Economici,2023,12 - Scienze giuridiche
52160,Associato confermato,CANONICO Marco,M,PERUGIA,,IUS/11,12/C2,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52161,Ordinario,CANTARO Antonio,M,Urbino Carlo Bo,,IUS/08,12/C1,Giurisprudenza (DiGiur),2023,12 - Scienze giuridiche
52162,Ricercatore,CANTARONE Pasqua,F,BARI,,IUS/18,12/H1,Giurisprudenza,2023,12 - Scienze giuridiche
52163,Associato confermato,CANTONI Silvia,F,TORINO,,IUS/13,12/E1,Giurisprudenza,2023,12 - Scienze giuridiche
52164,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),CANZIAN Nicola,M,MILANO-BICOCCA,,IUS/08,12/C1,GIURISPRUDENZA (SCHOOL OF LAW),2023,12 - Scienze giuridiche
52165,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CANï¿½ Daniele,M,INSUBRIA,,IUS/12,12/D2,"DIRITTO, ECONOMIA E CULTURE",2023,12 - Scienze giuridiche
52166,Ordinario,CAPALDO Giuseppina,F,"ROMA ""La Sapienza""",,IUS/01,12/A1,Diritto ed economia delle attività produttive,2023,12 - Scienze giuridiche
52167,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),CAPASSO Valentina,F,Napoli Federico II,,IUS/15,12/F1,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52168,Associato,CAPECCHI Marco,M,GENOVA,,IUS/01,12/A1,Giurisprudenza,2023,12 - Scienze giuridiche
52169,Associato,CAPECE Marco,M,SALERNO,,IUS/07,12/B2,Scienze Giuridiche (Scuola di Giurisprudenza),2023,12 - Scienze giuridiche
52170,Associato,CAPELLI Ilaria,F,INSUBRIA,,IUS/04,12/B1,Economia,2023,12 - Scienze giuridiche
52171,Ordinario,CAPILLI Giovanna,F,Univ. Telematica San Raffaele Roma,,IUS/01,12/A1,Dipartimento di Promozione delle Scienze Umane e della Qualità della Vita,2023,12 - Scienze giuridiche
52172,Ricercatore,CAPITTA Anna Maria,F,MILANO-BICOCCA,,IUS/16,12/G2,GIURISPRUDENZA (School of Law),2023,12 - Scienze giuridiche
52173,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAPIZZI Antonio,M,"ROMA ""La Sapienza""",,IUS/04,12/B1,SCIENZE GIURIDICHE,2023,12 - Scienze giuridiche
52174,Ordinario,CAPO Giovanni,M,SALERNO,,IUS/04,12/B1,Scienze Giuridiche (Scuola di Giurisprudenza),2023,12 - Scienze giuridiche
52175,Ordinario,CAPOBIANCO Ernesto,M,SALENTO,,IUS/01,12/A1,Scienze Giuridiche,2023,12 - Scienze giuridiche
52176,Ricercatore,CAPOLUPO Carmela,F,Napoli Federico II,,IUS/08,12/C1,Scienze Politiche,2023,12 - Scienze giuridiche
52177,Associato,CAPONE Arturo,M,Mediterranea di REGGIO CALABRIA,,IUS/16,12/G2,"Giurisprudenza, Economia e Scienze Umane",2023,12 - Scienze giuridiche
52178,Associato,CAPONE Francesca,F,Scuola Superiore Sant'Anna,,IUS/13,12/E1,Classe Accademica di Scienze Sociali,2023,12 - Scienze giuridiche
52179,Associato,CAPONE Piera,F,Napoli Federico II,,IUS/18,12/H1,Giurisprudenza,2023,12 - Scienze giuridiche
52180,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAPONETTI Simone,M,PADOVA,,IUS/07,12/B2,"SCIENZE POLITICHE, GIURIDICHE E STUDI INTERNAZIONALI - SPGI",2023,12 - Scienze giuridiche
52181,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAPORALE Federico,M,L'AQUILA,,IUS/10,12/D1,INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE E DI ECONOMIA,2023,12 - Scienze giuridiche
52182,Associato,CAPORALE Marina,F,MODENA e REGGIO EMILIA,,IUS/10,12/D1,Giurisprudenza,2023,12 - Scienze giuridiche
52183,Associato,CAPORALI Giancarlo,M,MACERATA,,IUS/09,12/C1,Economia e diritto,2023,12 - Scienze giuridiche
52184,Associato,CAPORRINO Veronica,F,"CAMPANIA - ""L. VANVITELLI""",,IUS/02,12/E2,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52185,Associato,CAPORUSSO Simona,F,"Univ. Telematica ""E-CAMPUS""",Giurisprudenza,IUS/15,12/F1,DIPARTIMENTO E-CAMPUS,2023,12 - Scienze giuridiche
52186,Associato,CAPPAI Federico,M,CAGLIARI,,IUS/05,12/E3,Giurisprudenza,2023,12 - Scienze giuridiche
52187,Ordinario,CAPPELLINI Paolo,M,FIRENZE,,IUS/19,12/H2,Scienze Giuridiche (DSG),2023,12 - Scienze giuridiche
52188,Associato,CAPPIELLO Benedetta Allegra Roberta,F,MILANO,,IUS/13,12/E1,Diritto pubblico italiano e sovranazionale,2023,12 - Scienze giuridiche
52189,Ordinario,CAPPUCCIO Antonio,M,MESSINA,,IUS/19,12/H2,Giurisprudenza,2023,12 - Scienze giuridiche
52190,Associato,CAPPUCCIO Laura,F,Napoli Federico II,,IUS/08,12/C1,Giurisprudenza,2023,12 - Scienze giuridiche
52191,Ricercatore,CAPRA Domenico,M,MILANO-BICOCCA,,IUS/01,12/A1,SCIENZE ECONOMICO-AZIENDALI E DIRITTO PER L'ECONOMIA,2023,12 - Scienze giuridiche
52192,Associato,CAPRARA Andrea,M,VERONA,,IUS/04,12/B1,Scienze giuridiche,2023,12 - Scienze giuridiche
52193,Ricercatore,CAPRARO Laura,F,"ROMA ""Tor Vergata""",,IUS/16,12/G2,Giurisprudenza,2023,12 - Scienze giuridiche
52194,Ordinario,CAPRIOLI Francesco,M,"ROMA ""La Sapienza""",,IUS/16,12/G2,Studi Giuridici ed Economici,2023,12 - Scienze giuridiche
52195,Associato,CAPUANO Valeria,F,"""Parthenope"" di NAPOLI",,IUS/14,12/E4,STUDI AZIENDALI ED ECONOMICI,2023,12 - Scienze giuridiche
52196,Ordinario,CAPUTI JAMBRENGHI Maria Teresa,F,BARI,,IUS/10,12/D1,"Jonico in ""Sistemi Giuridici ed Economici del Mediterraneo: società, ambiente, culture""",2023,12 - Scienze giuridiche
52197,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAPUTO Giuseppe,M,FIRENZE,,IUS/20,12/H3,SCIENZE GIURIDICHE (DSG),2023,12 - Scienze giuridiche
52198,Ordinario,CAPUTO Pasquale Matteo,M,Cattolica del Sacro Cuore,Giurisprudenza,IUS/17,12/G1,SCIENZE GIURIDICHE - SEDE MILANO,2023,12 - Scienze giuridiche
52199,Associato,CARABETTA Stefano,M,MESSINA,,IUS/02,12/E2,Giurisprudenza,2023,12 - Scienze giuridiche
52200,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),CARACCIOLO Alessio,M,MODENA e REGGIO EMILIA,,IUS/07,12/B2,ECONOMIA 'MARCO BIAGI',2023,12 - Scienze giuridiche
52201,Ordinario,CARACCIOLO Ida,F,"CAMPANIA - ""L. VANVITELLI""",,IUS/13,12/E1,SCIENZE POLITICHE,2023,12 - Scienze giuridiche
52202,Associato,CARACCIOLO LA GROTTERIA Vincenza,F,Mediterranea di REGGIO CALABRIA,,IUS/10,12/D1,"Giurisprudenza, Economia e Scienze Umane",2023,12 - Scienze giuridiche
52203,Associato,CARACENI Lina,F,MACERATA,,IUS/16,12/G2,Giurisprudenza,2023,12 - Scienze giuridiche
52204,Ricercatore,CARALLO Gemma,F,Univ. Studi GUGLIELMO MARCONI - Telematica,Economia,IUS/13,12/E1,SCIENZE GIURIDICHE E POLITICHE,2023,12 - Scienze giuridiche
52205,Ordinario,CARANTA Roberto,M,TORINO,,IUS/10,12/D1,Giurisprudenza,2023,12 - Scienze giuridiche
52206,Ordinario,CARAPEZZA FIGLIA Gabriele,M,"Libera Univ. ""Maria SS.Assunta""-LUMSA - ROMA",,IUS/01,12/A1,Giurisprudenza (corsi di laurea a Palermo),2023,12 - Scienze giuridiche
52207,Associato,CARATOZZOLO Roberto,M,MESSINA,,IUS/05,12/E3,Scienze Politiche e Giuridiche,2023,12 - Scienze giuridiche
52208,Ordinario,CARAVALE Giulia,F,"ROMA ""La Sapienza""",,IUS/21,12/E2,Scienze politiche,2023,12 - Scienze giuridiche
52209,Associato,CARBONE Andrea,M,"ROMA ""La Sapienza""",,IUS/10,12/D1,Scienze giuridiche,2023,12 - Scienze giuridiche
52210,Associato,CARBONE Mariateresa,F,CATANZARO,,IUS/18,12/H1,"Giurisprudenza, Economia e Sociologia",2023,12 - Scienze giuridiche
52211,Ordinario,CARBONE Paolo,M,ROMA TRE,,IUS/02,12/E2,Economia Aziendale,2023,12 - Scienze giuridiche
52212,Ordinario,CARBONI Giuliana Giuseppina,F,SASSARI,,IUS/21,12/E2,Scienze Economiche e Aziendali,2023,12 - Scienze giuridiche
52213,Associato,CARCANO Andrea,M,MODENA e REGGIO EMILIA,,IUS/13,12/E1,Giurisprudenza,2023,12 - Scienze giuridiche
52214,Ricercatore,CARCERERI DE PRATI Claudio,M,PADOVA,,IUS/19,12/H2,DIRITTO PRIVATO E CRITICA DEL DIRITTO (DPCD),2023,12 - Scienze giuridiche
52215,Ricercatore,CARCHIDI Claudia Regina,F,UNICUSANO - Telematica Roma,Giurisprudenza,IUS/14,12/E4,"SCIENZE ECONOMICHE, PSICOLOGICHE E DELLA COMUNICAZIONE",2023,12 - Scienze giuridiche
52216,Ordinario,CARDARELLI Francesco,M,"ROMA ""Foro Italico""",,IUS/09,12/D1,"SCIENZE MOTORIE, UMANE E DELLA SALUTE",2023,12 - Scienze giuridiche
52217,Ordinario,CARDARELLI Maria Cecilia,F,SALENTO,,IUS/04,12/B1,Scienze Giuridiche,2023,12 - Scienze giuridiche
52218,Associato,CARDELLA Pier Luca,M,"ROMA ""La Sapienza""",,IUS/12,12/D2,Diritto ed economia delle attività produttive,2023,12 - Scienze giuridiche
52219,Ricercatore,CARDELLINI Anna,F,CAMERINO,,IUS/18,12/H1,SCUOLA DI GIURISPRUDENZA,2023,12 - Scienze giuridiche
52220,Ordinario,CARDILLI Riccardo,M,"ROMA ""Tor Vergata""",,IUS/18,12/H1,Giurisprudenza,2023,12 - Scienze giuridiche
52221,Associato confermato,CARDILLO Mario,M,FOGGIA,,IUS/12,12/D2,SCIENZE SOCIALI,2023,12 - Scienze giuridiche
52222,Associato,CARDINALE Eustachio,M,BARI,,IUS/04,12/B1,Giurisprudenza,2023,12 - Scienze giuridiche
52223,Ordinario,CARDONE Andrea,M,FIRENZE,,IUS/09,12/C1,Scienze Giuridiche (DSG),2023,12 - Scienze giuridiche
52224,Ordinario,CARDUCCI Michele,M,SALENTO,,IUS/21,12/E2,Scienze Umane e Sociali,2023,12 - Scienze giuridiche
52225,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CAREDDA Marta,F,ROMA TRE,,IUS/09,12/C1,STUDI UMANISTICI,2023,12 - Scienze giuridiche
52226,Ordinario,CAREDDA Valeria,F,CAGLIARI,,IUS/01,12/A1,Giurisprudenza,2023,12 - Scienze giuridiche
52227,Ordinario,CARELLA Gabriella,F,BARI,,IUS/13,12/E1,Giurisprudenza,2023,12 - Scienze giuridiche
52228,Associato,CARICATO Cristina,F,"ROMA ""La Sapienza""",,IUS/01,12/A1,Scienze politiche,2023,12 - Scienze giuridiche
52229,Associato,CARIDA' Rossana,F,CATANZARO,,IUS/09,12/C1,"Giurisprudenza, Economia e Sociologia",2023,12 - Scienze giuridiche
52230,Associato,CARIDI Vincenzo,M,"ROMA ""La Sapienza""",,IUS/04,12/B1,Diritto ed economia delle attività produttive,2023,12 - Scienze giuridiche
52231,Ordinario,CARIELLO Vincenzo,M,Cattolica del Sacro Cuore,Giurisprudenza,IUS/04,12/B1,SCIENZE GIURIDICHE,2023,12 - Scienze giuridiche
52232,Associato,CARIGLIA Chiara,F,PERUGIA,,IUS/15,12/F1,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52233,Ordinario,CARIMINI Francesca,F,"CAMPANIA - ""L. VANVITELLI""",,IUS/01,12/A1,SCIENZE POLITICHE,2023,12 - Scienze giuridiche
52234,Ordinario,CARINCI Andrea,M,BOLOGNA,,IUS/12,12/D2,Scienze Giuridiche,2023,12 - Scienze giuridiche
52235,Ordinario,CARINCI Maria Teresa,F,MILANO,,IUS/07,12/B2,Diritto privato e storia del diritto,2023,12 - Scienze giuridiche
52236,Ordinario,CARIOLA Agatino,M,CATANIA,,IUS/08,12/C1,Giurisprudenza,2023,12 - Scienze giuridiche
52237,Ordinario,CARLEO Roberto,M,"""Parthenope"" di NAPOLI",,IUS/01,12/A1,STUDI ECONOMICI E GIURIDICI,2023,12 - Scienze giuridiche
52238,Associato confermato,CARLETTI Cristiana,F,ROMA TRE,,IUS/13,12/E1,Scienze Politiche,2023,12 - Scienze giuridiche
52239,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CARLINO Valentina,F,SIENA,,IUS/21,12/E2,STUDI AZIENDALI E GIURIDICI,2023,12 - Scienze giuridiche
52240,Ordinario,CARLONI Enrico,M,PERUGIA,,IUS/10,12/D1,SCIENZE POLITICHE,2023,12 - Scienze giuridiche
52241,Associato,CARLOTTO Ilaria,F,VERONA,,IUS/09,12/C1,Scienze giuridiche,2023,12 - Scienze giuridiche
52242,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CARMELLINO Giovanni,M,MOLISE,,IUS/15,12/F1,GIURIDICO,2023,12 - Scienze giuridiche
52243,Ordinario,CARMIGNANI Sonia,F,SIENA,,IUS/03,12/E3,Giurisprudenza,2023,12 - Scienze giuridiche
52244,Associato,CARMINATI Arianna,F,BRESCIA,,IUS/09,12/C1,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52245,Ordinario,CARNEVALE Paolo,M,ROMA TRE,,IUS/08,12/C1,Giurisprudenza,2023,12 - Scienze giuridiche
52246,Associato,CARNEVALE Stefania,F,FERRARA,,IUS/16,12/G2,Giurisprudenza,2023,12 - Scienze giuridiche
52247,Associato,CARNIMEO Nicolo' Giovanni,M,BARI,,IUS/06,12/E3,"Jonico in ""Sistemi Giuridici ed Economici del Mediterraneo: società, ambiente, culture""",2023,12 - Scienze giuridiche
52248,Ordinario,CAROBENE Germana,F,Napoli Federico II,,IUS/11,12/C2,Scienze Politiche,2023,12 - Scienze giuridiche
52249,Associato,CAROCCIA Francesca,F,L'AQUILA,,IUS/01,12/A1,Ingegneria industriale e dell'informazione e di economia,2023,12 - Scienze giuridiche
