,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
26,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AGRESTE Santa,F,MESSINA,,INF/01,01/B1,"SCIENZE MATEMATICHE ED INFORMATICHE, SCIENZE FISICHE E SCIENZE DELLA TERRA",2011,01 - Scienze matematiche e informatiche
27,Ricercatore,AGUGLIA Angela,F,Politecnico di BARI,Ingegneria,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
28,Ricercatore,AGUZZOLI Stefano,M,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
29,Ordinario,AIENA Pietro,M,PALERMO,Ingegneria,MAT/05,01/A3,"INGEGNERIA ELETTRICA, ELETTRONICA E DELLE TELECOMUNICAZIONI, DI TECNOLOGIE CHIMICHE, AUTOMATICA E MODELLI MATEMATICI",2011,01 - Scienze matematiche e informatiche
30,Ricercatore,AIMI Alessandra,F,PARMA,Scienze Matematiche Fisiche e Naturali,MAT/08,01/A5,MATEMATICA,2011,01 - Scienze matematiche e informatiche
31,Ricercatore,AIOLLI Fabio,M,PADOVA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
32,Associato confermato,ALBANESE Angela Anna,F,SALENTO,Ingegneria,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
33,Associato confermato,ALBANO Alberto,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
34,Ordinario,ALBANO Antonio,M,PISA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
35,Ricercatore,ALBANO Giovannina,F,SALERNO,Ingegneria,MAT/03,01/A2,INGEGNERIA ELETTRONICA E INGEGNERIA INFORMATICA/DIEII,2011,01 - Scienze matematiche e informatiche
36,Ricercatore,ALBANO Paolo,M,BOLOGNA,"Architettura ""Aldo Rossi""",MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
37,Ordinario,ALBERTI Giovanni,M,PISA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
38,Associato confermato,ALBERTI Maria Alberta,F,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA E COMUNICAZIONE,2011,01 - Scienze matematiche e informatiche
39,Ricercatore,ALBERTINI Francesca,F,PADOVA,Ingegneria,MAT/05,01/A3,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
40,Ricercatore,ALDINI Alessandro,M,Urbino Carlo Bo,Scienze e Tecnologie,INF/01,01/B1,"SCIENZE DI BASE E FONDAMENTI: MATEMATICA, INFORMATICA, FISICA, CHIMICA, EPISTEMOLOGIA E STORIA DELLA SCIENZA",2011,01 - Scienze matematiche e informatiche
41,Ricercatore,ALDINUCCI Marco,M,TORINO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
42,Ordinario,ALESSANDRINI Giovanni,M,TRIESTE,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E GEOSCIENZE,2011,01 - Scienze matematiche e informatiche
43,Ordinario,ALESSANDRINI Lucia,F,PARMA,Ingegneria,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
44,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,Matematica e Informatica,2011,01 - Scienze matematiche e informatiche
45,Ricercatore,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2011,01 - Scienze matematiche e informatiche
46,Associato non confermato,ALETTI Giacomo,M,MILANO,Scienze Matematiche Fisiche e Naturali,MAT/06,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
47,Ricercatore,ALFIERI Roberto,M,PARMA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,FISICA,2011,01 - Scienze matematiche e informatiche
48,Associato,ALI' Giuseppe,M,della CALABRIA,Ingegneria,MAT/07,01/A4,MATEMATICA,2011,01 - Scienze matematiche e informatiche
49,Ricercatore,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,Ingegneria,MAT/05,01/A3,"AUTOMAZIONE, ELETTROMAGNETISMO, INGEGNERIA DELL'INFORMAZIONE E MATEMATICA INDUSTRIALE",2011,01 - Scienze matematiche e informatiche
50,Ricercatore,ALIFFI Davide,M,BOLOGNA,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
51,Ordinario,ALLINEY Stefano,M,BOLOGNA,Economia,MAT/09,01/A6,MATEMATICA GENERALE E FINANZIARIA,2011,01 - Scienze matematiche e informatiche
52,Ricercatore,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,Ingegneria,MAT/08,01/A5,MATEMATICA,2011,01 - Scienze matematiche e informatiche
53,Ordinario,ALTOMARE Francesco,M,BARI,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
54,Ordinario,ALVINO Angelo,M,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2011,01 - Scienze matematiche e informatiche
55,Associato confermato,ALZATI Alberto,M,MILANO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
56,Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI","Scienze e Tecnologie ""P.Leonardi Cattolica""",MAT/05,01/A3,SCIENZE APPLICATE,2011,01 - Scienze matematiche e informatiche
57,Ricercatore,AMADORI Debora,F,L'AQUILA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
58,Associato confermato,AMALDI Edoardo,M,Politecnico di MILANO,Ingegneria dell'Informazione,MAT/09,01/A6,ELETTRONICA E INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
59,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",Ingegneria Civile e Industriale (*),MAT/05,01/A3,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2011,01 - Scienze matematiche e informatiche
60,Ricercatore,AMATO Gianluca,M,CHIETI-PESCARA,Economia,INF/01,01/B1,ECONOMIA,2011,01 - Scienze matematiche e informatiche
61,Ricercatore,AMATO Roberto,M,MESSINA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
62,Ordinario,AMBRIOLA Vincenzo,M,PISA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
63,Ricercatore,AMBROGIO Elisabetta,F,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
64,Ordinario,AMBROSETTI Antonio Giacomo,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,SETTORE ANALISI FUNZIONALE E APPLICAZIONI,2011,01 - Scienze matematiche e informatiche
65,Associato confermato,AMBROSI Davide Carlo,M,Politecnico di MILANO,Ingegneria dei Sistemi,MAT/07,01/A4,MATEMATICA,2011,01 - Scienze matematiche e informatiche
66,Ricercatore,AMBROSINO Daniela,F,GENOVA,Economia,MAT/09,01/A6,ECONOMIA E METODI QUANTITATIVI,2011,01 - Scienze matematiche e informatiche
67,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,Classe di Scienze Mat. e Nat.,MAT/05,01/A3,CLASSE DI SCIENZE MATEMATICHE E NATURALI,2011,01 - Scienze matematiche e informatiche
68,Assistente r.e.,AMBROSIO Rosanna,F,Napoli Federico II,Architettura,MAT/03,01/A2,Non disponibile,2011,01 - Scienze matematiche e informatiche
69,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,Non disponibile,2011,01 - Scienze matematiche e informatiche
70,Ordinario,AMENDOLA Giovambattista,M,PISA,Ingegneria,MAT/07,01/A4,MATEMATICA APPLICATA,2011,01 - Scienze matematiche e informatiche
71,Associato confermato,AMICI Oriella Maria,F,BARI,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
72,Ricercatore non confermato,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,Ingegneria,MAT/07,01/A4,MECCANICA E MATERIALI,2011,01 - Scienze matematiche e informatiche
73,Associato confermato,AMODIO Pierluigi,M,BARI,Scienze Matematiche Fisiche e Naturali,MAT/08,01/A5,MATEMATICA,2011,01 - Scienze matematiche e informatiche
74,Associato confermato,AMOROSO Alessandro,M,BOLOGNA,Economia (Sede di Rimini),INF/01,01/B1,SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
75,Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2011,01 - Scienze matematiche e informatiche
76,Ricercatore,ANCONA Davide,M,GENOVA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA E SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
77,Associato confermato,ANCONA Fabio,M,PADOVA,Ingegneria,MAT/05,01/A3,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
78,Associato confermato,ANDREATTA Fabrizio,M,MILANO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
79,Ordinario,ANDREATTA Giovanni,M,PADOVA,Scienze Statistiche,MAT/09,01/A6,MATEMATICA,2011,01 - Scienze matematiche e informatiche
80,Ordinario,ANDREATTA Marco,M,TRENTO,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
81,Associato confermato,ANDREINI Alessandra,F,SIENA,Ingegneria,MAT/05,01/A3,INGEGNERIA DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
82,Ricercatore,ANDREOLINI Mauro,M,MODENA e REGGIO EMILIA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INGEGNERIA DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
83,Straordinario,ANDRETTA Alessandro,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/01,01/A1,MATEMATICA,2011,01 - Scienze matematiche e informatiche
84,Ordinario,ANDREUCCI Daniele,M,"ROMA ""La Sapienza""",Ingegneria Civile e Industriale (*),MAT/07,01/A4,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2011,01 - Scienze matematiche e informatiche
85,Ricercatore,ANEDDA Claudia,F,CAGLIARI,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
86,Associato non confermato,ANELLO Giovanni,M,MESSINA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
87,Associato confermato,ANGELERI Lidia,F,VERONA,,MAT/02,01/A2,Informatica,2011,01 - Scienze matematiche e informatiche
88,Ricercatore,ANGELONI Laura,F,PERUGIA,Ingegneria,MAT/05,01/A3,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
89,Associato confermato,ANGLANO Cosimo Filomeno,M,PIEMONTE ORIENTALE,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
90,Ordinario,ANICHINI Giuseppe,M,FIRENZE,Ingegneria,MAT/05,01/A3,SISTEMI E INFORMATICA,2011,01 - Scienze matematiche e informatiche
91,Ricercatore,ANNUNZIATO Mario,M,SALERNO,Scienze Matematiche Fisiche e Naturali,MAT/08,01/A5,MATEMATICA/DIPMAT,2011,01 - Scienze matematiche e informatiche
92,Ricercatore,ANSELMA Luca,M,TORINO,Lingue e Letterature Straniere,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
93,Associato confermato,ANSELMO Marcella,F,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA/DI,2011,01 - Scienze matematiche e informatiche
94,Ricercatore non confermato,ANSINI Nadia,F,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali (*),MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
95,Ricercatore,ANTONACCI Flavia,F,CHIETI-PESCARA,Economia,MAT/05,01/A3,SCIENZE,2011,01 - Scienze matematiche e informatiche
96,Associato confermato,ANTONELLI Fabio,M,L'AQUILA,Scienze Matematiche Fisiche e Naturali,MAT/06,01/A3,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
97,Ricercatore,ANTONIETTI Paola Francesca,F,Politecnico di MILANO,Ingegneria dei Sistemi,MAT/08,01/A5,MATEMATICA,2011,01 - Scienze matematiche e informatiche
98,Ricercatore,ANTONINI Samuele,M,PAVIA,,MAT/04,01/A1,MATEMATICA,2011,01 - Scienze matematiche e informatiche
99,Associato confermato,ANTONIOTTI Marco,M,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2011,01 - Scienze matematiche e informatiche
100,Ordinario,ANZELLOTTI Gabriele,M,TRENTO,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
101,Ordinario,APOLLONI Bruno,M,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
102,Ordinario,ARBARELLO Enrico,M,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali (*),MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
103,Ordinario,ARBIB Claudio,M,L'AQUILA,Scienze Matematiche Fisiche e Naturali,MAT/09,01/A6,INFORMATICA,2011,01 - Scienze matematiche e informatiche
104,Ricercatore,ARCHETTI Claudia,F,BRESCIA,Economia,MAT/09,01/A6,METODI QUANTITATIVI,2011,01 - Scienze matematiche e informatiche
105,Ordinario,ARCHETTI Francesco,M,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,MAT/09,01/A6,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2011,01 - Scienze matematiche e informatiche
106,Associato confermato,ARCOZZI Nicola,M,BOLOGNA,Ingegneria,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
107,Ricercatore,ARDAGNA Claudio Agostino,M,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,TECNOLOGIE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
108,Associato confermato,ARDISSONO Liliana,F,TORINO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
109,Associato confermato,ARDITO Ada,F,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali (*),MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
110,Ricercatore,ARDIZZONE Lucia,F,PALERMO,Ingegneria,MAT/05,01/A3,"INGEGNERIA ELETTRICA, ELETTRONICA E DELLE TELECOMUNICAZIONI, DI TECNOLOGIE CHIMICHE, AUTOMATICA E MODELLI MATEMATICI",2011,01 - Scienze matematiche e informatiche
111,Ricercatore non confermato,ARDIZZONI Alessandro,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/02,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
112,Ordinario,ARENA Orazio,M,FIRENZE,Architettura,MAT/05,01/A3,COSTRUZIONI E RESTAURO,2011,01 - Scienze matematiche e informatiche
113,Ordinario,AREZZO Claudio,M,PARMA,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
114,Ricercatore non confermato,ARICO' Antonio,M,"CAMPANIA - ""L. VANVITELLI""",Scienze Matematiche Fisiche e Naturali,MAT/08,01/A5,MATEMATICA,2011,01 - Scienze matematiche e informatiche
115,Ricercatore,ARINGHIERI Roberto,M,TORINO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
116,Associato confermato,ARIOLI Gianni,M,Politecnico di MILANO,Ingegneria dei Sistemi,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
117,Ordinario,ARLOTTI Luisa,F,UDINE,Ingegneria,MAT/07,01/A4,INGEGNERIA CIVILE E ARCHITETTURA (DICA),2011,01 - Scienze matematiche e informatiche
118,Ordinario,AROSIO Alberto Giorgio,M,PARMA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
119,Ricercatore,ARTALE Alessandro,M,Libera Università di BOLZANO,Scienze e Tecnologie Informatiche,INF/01,01/B1,FACOLTA' DI INGEGNERIA,2011,01 - Scienze matematiche e informatiche
120,Associato confermato,ARTALE Maria,F,"ROMA ""Tor Vergata""",Ingegneria,MAT/02,01/A2,MATEMATICA,2011,01 - Scienze matematiche e informatiche
121,Associato confermato,ARTICO Giuliano,M,PADOVA,Scienze Matematiche Fisiche e Naturali,MAT/03,01/A2,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
122,Ordinario,ARUFFO Ada,F,GENOVA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
123,Ordinario,ARZARELLO Ferdinando,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/04,01/A1,MATEMATICA,2011,01 - Scienze matematiche e informatiche
124,Ricercatore non confermato,ASCANELLI Alessia,F,FERRARA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
125,Ricercatore,ASCENZI Oscar,M,FERRARA,Ingegneria,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
126,Ricercatore,ASCI Claudio,M,TRIESTE,Scienze Matematiche Fisiche e Naturali,MAT/06,01/A3,MATEMATICA E GEOSCIENZE,2011,01 - Scienze matematiche e informatiche
127,Ricercatore,ASCOLI Davide,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
128,Ordinario,ASPERTI Andrea,M,BOLOGNA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
129,Associato non confermato,ASTENGO Francesca,F,GENOVA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
130,Associato confermato,ATENIESE Giuseppe,M,"ROMA ""La Sapienza""","Ing. Informazione, Informatica e Statistica (*)",INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
131,Ordinario,ATTARDI Giuseppe,M,PISA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA,2011,01 - Scienze matematiche e informatiche
132,Ricercatore non confermato,ATZORI Maurizio,M,CAGLIARI,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
133,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AUGSTEN Nikolaus,M,Libera Università di BOLZANO,Scienze e Tecnologie Informatiche,INF/01,,SCIENZE E TECNOLOGIE INFORMATICHE,2011,01 - Scienze matematiche e informatiche
134,Straordinario,AULETTA Vincenzo,M,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,INFORMATICA/DI,2011,01 - Scienze matematiche e informatiche
135,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AUTILI Marco,M,L'AQUILA,,INF/01,,INGEGNERIA E SCIENZE DELL'INFORMAZIONE E MATEMATICA,2011,01 - Scienze matematiche e informatiche
136,Associato confermato,AVALLONE Anna,F,BASILICATA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
137,Ordinario,AVELLA Pasquale,M,SANNIO di BENEVENTO,Ingegneria,MAT/09,01/A6,INGEGNERIA,2011,01 - Scienze matematiche e informatiche
138,Associato confermato,AVELLONE Alessandro,M,MILANO-BICOCCA,Economia,INF/01,01/B1,METODI QUANTITATIVI PER LE SCIENZE ECONOMICHE ED AZIENDALI,2011,01 - Scienze matematiche e informatiche
139,Associato confermato,AVERNA Diego,M,PALERMO,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
140,Ricercatore,AVITABILE Marina,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,MAT/02,01/A2,MATEMATICA E APPLICAZIONI,2011,01 - Scienze matematiche e informatiche
141,Ricercatore,AZZOLLINI Antonio,M,BASILICATA,Economia,MAT/05,01/A3,MATEMATICA E INFORMATICA,2011,01 - Scienze matematiche e informatiche
142,Ordinario,BABAOGLU Ozalp,M,BOLOGNA,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,SCIENZE DELL'INFORMAZIONE,2011,01 - Scienze matematiche e informatiche
143,Associato confermato,BACCELLA Giuseppe,M,L'AQUILA,Scienze Matematiche Fisiche e Naturali,MAT/02,01/A2,MATEMATICA PURA E APPLICATA,2011,01 - Scienze matematiche e informatiche
144,Ricercatore,BACCHELLI Barbara,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2011,01 - Scienze matematiche e informatiche
145,Associato confermato,BACCHELLI Valeria,F,Politecnico di MILANO,Ingegneria dell'Informazione,MAT/05,01/A3,MATEMATICA,2011,01 - Scienze matematiche e informatiche
146,Ricercatore,BACCHI REGGIANI Maria Letizia,F,BOLOGNA,Medicina e Chirurgia,INF/01,01/B1,CARDIOVASCOLARE,2011,01 - Scienze matematiche e informatiche
147,Ordinario,BACCIOTTI Andrea,M,Politecnico di TORINO,Ingegneria,MAT/05,01/A3,SCIENZE MATEMATICHE,2011,01 - Scienze matematiche e informatiche
