Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,CERASOLI Mauro,M,L'AQUILA,Scienze Matematiche Fisiche e Naturali,MAT/06,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Ordinario,CERCIGNANI Carlo,M,Politecnico di MILANO,Ingegneria II,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CERESA GENET Giuseppe,M,"ROMA ""Tor Vergata""",Ingegneria,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CERIOLI Maura,F,GENOVA,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA E SCIENZE DELL'INFORMAZIONE,2001,01 - Scienze matematiche e informatiche
Associato confermato,CERLIENCO Luigi,M,CAGLIARI,Scienze Matematiche Fisiche e Naturali,MAT/02,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CERMELLI Paolo,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CERRAI Paola,F,PISA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CERRAI Sandra,F,FIRENZE,Economia,MAT/06,,MATEMATICA PER LE DECISIONI,2001,01 - Scienze matematiche e informatiche
Associato confermato,CERRI Stefano Alessandro,M,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,,SCIENZE DELL'INFORMAZIONE,2001,01 - Scienze matematiche e informatiche
Associato confermato,CERRUTI Umberto,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/02,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CERULLI Raffaele,M,SALERNO,Scienze Matematiche Fisiche e Naturali,MAT/09,,MATEMATICA/DIPMAT,2001,01 - Scienze matematiche e informatiche
Associato confermato,CERUTTI Maria Cristina,F,Politecnico di MILANO,Ingegneria IV,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CESA-BIANCHI Nicolo' Antonio,M,MILANO,Scienze Matematiche Fisiche e Naturali,INF/01,,SCIENZE DELL'INFORMAZIONE,2001,01 - Scienze matematiche e informatiche
Associato confermato,CESARINI Francesca,F,FIRENZE,Scienze Matematiche Fisiche e Naturali,INF/01,,SISTEMI E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CHEN Yu,M,TORINO,Scienze Matematiche Fisiche e Naturali,MAT/02,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CHERUBINI Alessandra,F,Politecnico di MILANO,Ingegneria V,MAT/02,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CHERUBINI Anna Maria,F,SALENTO,Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CHESSA Stefano,M,PISA,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2001,01 - Scienze matematiche e informatiche
