Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,MARCHESI Antonio,M,TERAMO,Giurisprudenza,IUS/13,12/E1,SCIENZE GIURIDICHE PUBBLICISTICHE,2011,12 - Scienze giuridiche
Ordinario,MARCHETTI Barbara,F,TRENTO,Giurisprudenza,IUS/10,12/D1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MARCHETTI Carlo,M,MILANO,Giurisprudenza,IUS/02,12/E2,DIRITTO PRIVATO E STORIA DEL DIRITTO,2011,12 - Scienze giuridiche
Associato confermato,MARCHETTI Fabio,M,Luiss Guido Carli,,IUS/12,12/D2,IMPRESA E MANAGEMENT,2011,12 - Scienze giuridiche
Ricercatore,MARCHETTI Gloria,F,MILANO,Scienze Politiche,IUS/08,12/C1,GIURIDICO POLITICO,2011,12 - Scienze giuridiche
Ordinario,MARCHETTI Maria Riccarda,F,SASSARI,Giurisprudenza,IUS/16,12/G2,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MARCHETTI Paolo,M,TERAMO,Giurisprudenza,IUS/19,12/H2,SCIENZE GIURIDICHE NELLA SOCIETA' E NELLA STORIA,2011,12 - Scienze giuridiche
Ricercatore,MARCHETTO Giuliano,M,TRENTO,Giurisprudenza,IUS/19,12/H2,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MARCHIANO' Giovanna,F,BOLOGNA,Economia,IUS/09,12/D1,DISCIPLINE GIURIDICHE DELL'ECONOMIA E DELL'AZIENDA,2011,12 - Scienze giuridiche
Ricercatore,MARCHISIO Emiliano,M,"ROMA ""Tor Vergata""",Economia,IUS/04,12/B1,UNIVERSITA' TELEMATICA GIUSTINO FORTUNATO,2011,12 - Scienze giuridiche
Ordinario,MARCHISIO Sergio,M,"ROMA ""La Sapienza""","Sc. Politiche, Sociologia, Comunicazione (*)",IUS/13,12/E1,SCIENZE POLITICHE,2011,12 - Scienze giuridiche
Ricercatore,MARCOLINI Stefano,M,INSUBRIA,,IUS/16,12/G2,"Diritto, Economia e Culture",2011,12 - Scienze giuridiche
Ordinario,MARELLA Maria Rosaria,F,PERUGIA,Giurisprudenza,IUS/01,12/A1,STUDI GIURIDICI -ALESSANDRO GIULIANI-,2011,12 - Scienze giuridiche
Associato confermato,MARELLI Fabio Emilio Mario,M,PAVIA,Giurisprudenza,IUS/15,12/F1,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Straordinario,MARELLO Enrico,M,TORINO,Giurisprudenza,IUS/12,12/D2,GIURISPRUDENZA,2011,12 - Scienze giuridiche
