Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,LO GULLO Maria Assunta,F,MESSINA,Scienze Matematiche Fisiche e Naturali,BIO/04,,SCIENZE DELLA VITA,2010,05 - Scienze biologiche
Associato confermato,LO PARO Giuseppe,M,MESSINA,Scienze Matematiche Fisiche e Naturali,BIO/07,,BIOLOGIA ANIMALE ED ECOLOGIA MARINA,2010,05 - Scienze biologiche
Ricercatore,LO PASSO Carla,F,MESSINA,Scienze Matematiche Fisiche e Naturali,BIO/18,,SCIENZE DELLA VITA,2010,05 - Scienze biologiche
Ordinario,LO SCHIAVO Fiorella,F,PADOVA,Scienze Matematiche Fisiche e Naturali,BIO/04,,BIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LO VALVO Mario,M,PALERMO,Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA AMBIENTALE E BIODIVERSITA',2010,05 - Scienze biologiche
Ricercatore,LO VASCO Vincenza Rita,F,"ROMA ""La Sapienza""",Medicina e Odontoiatria (*),BIO/16,,Non disponibile,2010,05 - Scienze biologiche
Ordinario,LOCATELLI Vittorio,M,MILANO-BICOCCA,Medicina e Chirurgia,BIO/14,,MEDICINA SPERIMENTALE (DIMS),2010,05 - Scienze biologiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),LOCATO Vittoria,F,"Univ. ""Campus Bio-Medico"" di ROMA",Medicina e Chirurgia,BIO/04,,Non disponibile,2010,05 - Scienze biologiche
Ordinario,LOCCI Paola,F,PERUGIA,Medicina e Chirurgia,BIO/17,,MEDICINA SPERIMENTALE E SCIENZE BIOCHIMICHE,2010,05 - Scienze biologiche
Ricercatore,LODDO Roberta,F,CAGLIARI,Scienze Matematiche Fisiche e Naturali,BIO/19,,SCIENZE E TECNOLOGIE BIOMEDICHE,2010,05 - Scienze biologiche
Ricercatore,LODI Leda,F,SIENA,Farmacia,BIO/13,,FISIOLOGIA,2010,05 - Scienze biologiche
Ordinario,LODI Raffaele,M,BOLOGNA,Medicina e Chirurgia,BIO/12,,"MEDICINA INTERNA, DELL'INVECCHIAMENTO E MALATTIE NEFROLOGICHE",2010,05 - Scienze biologiche
Associato confermato,LODI Tiziana,F,PARMA,Scienze Matematiche Fisiche e Naturali,BIO/18,,"GENETICA, BIOLOGIA DEI MICRORGANISMI, ANTROPOLOGIA, EVOLUZIONE",2010,05 - Scienze biologiche
Ricercatore,LODOVICI Maura,F,FIRENZE,Farmacia,BIO/14,,"FARMACOLOGIA PRECLINICA E CLINICA ""M. AIAZZI MANCINI""",2010,05 - Scienze biologiche
Ricercatore,LOFRUMENTO Dario Domenico,M,SALENTO,Scienze Matematiche Fisiche e Naturali,BIO/16,,SCIENZE E TECNOLOGIE BIOLOGICHE ED AMBIENTALI,2010,05 - Scienze biologiche
Associato confermato,LOGRANO Marcello Diego,M,BARI,Farmacia,BIO/14,,"BIOSCIENZE, BIOTECNOLOGIE E SCIENZE FARMACOLOGICHE",2010,05 - Scienze biologiche
Ricercatore,LOGUERCIO POLOSA Paola Anna Maria,F,BARI,Scienze Matematiche Fisiche e Naturali,BIO/10,,"BIOSCIENZE, BIOTECNOLOGIE E SCIENZE FARMACOLOGICHE",2010,05 - Scienze biologiche
Ricercatore,LOI Maria Cecilia,F,CAGLIARI,Scienze Matematiche Fisiche e Naturali,BIO/02,,SCIENZE DELLA VITA E DELL'AMBIENTE (DI.S.V.A.),2010,05 - Scienze biologiche
Ricercatore,LOMBARDELLI Gabriella,F,Urbino Carlo Bo,Farmacia,BIO/14,,FARMACOLOGIA E FARMACOGNOSIA,2010,05 - Scienze biologiche
Ricercatore,LOMBARDI Assunta,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,BIO/09,,SCIENZE BIOLOGICHE,2010,05 - Scienze biologiche
Associato confermato,LOMBARDI Grazia,F,PIEMONTE ORIENTALE,Farmacia,BIO/14,,"SCIENZE CHIMICHE ALIMENTARI, FARMACEUTICHE E FARMACOLOGICHE",2010,05 - Scienze biologiche
Associato confermato,LOMBARDI Tiziana,F,PISA,Agraria,BIO/03,,AGRONOMIA E GESTIONE DELL'AGRO-ECOSISTEMA,2010,05 - Scienze biologiche
Ordinario,LOMBARDI Vincenzo,M,FIRENZE,Scienze Matematiche Fisiche e Naturali,BIO/09,,"BIOLOGIA EVOLUZIONISTICA ""LEO PARDI""",2010,05 - Scienze biologiche
Ricercatore,LOMBARDO Barbara,F,Napoli Federico II,Scienze Biotecnologiche,BIO/10,,BIOCHIMICA E BIOTECNOLOGIE MEDICHE,2010,05 - Scienze biologiche
Associato confermato,LOMBARDO Bianca Maria,F,CATANIA,Scienze Matematiche Fisiche e Naturali,BIO/05,,"SCIENZE BIOLOGICHE, GEOLOGICHE E AMBIENTALI",2010,05 - Scienze biologiche
Associato confermato,LOMBARDO Francesco Giovanni,M,CATANIA,Scienze Matematiche Fisiche e Naturali,BIO/05,,"SCIENZE BIOLOGICHE, GEOLOGICHE E AMBIENTALI",2010,05 - Scienze biologiche
Ricercatore non confermato,LONATI Michele,M,TORINO,Agraria,BIO/03,,"AGRONOMIA, SELVICOLTURA E GESTIONE DEL TERRITORIO",2010,05 - Scienze biologiche
Ordinario,LONDEI Paola,F,"ROMA ""La Sapienza""",Farmacia e Medicina (*),BIO/13,,BIOTECNOLOGIE CELLULARI ED EMATOLOGIA,2010,05 - Scienze biologiche
