Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
101041229,JANUS BI,Teresa Gatti,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2021,1500000.0
101040681,SUPER,Daniele Cortecchia,"University of Bologna [999993953,IT]",Starting Grants,2021,2474375.0
101044020,GIULIa,Teresa Pellegrino,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2021,2993750.0
101043968,Multimech,Alessio Zaccone,"University of Milan [999995796,IT]",Consolidator Grants,2021,952785.0
101165230,ETQO,Ludovico Lami,"Normal Superior School of Pisa [999886962,IT]",Starting Grants,2024,1499850.0
101163231,OPOSSUM,Paul Andrei Puiu,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2024,1497500.0
101117510,AstroDarkLS,Andrea Caputo,"Sapienza University of Rome [999987745,IT]",Starting Grants,2023,1500000.0
101114881,QUANTHEM,Lorenzo Piroli,"University of Bologna [999993953,IT]",Starting Grants,2023,1405750.0
101124288,CompleX,Valentina Sola,"University of Turin [999861936,IT]",Consolidator Grants,2023,1800926.0
101125112,HoloBoot,Massimo Taronna,"University of Naples Federico II [999976590,IT]",Consolidator Grants,2023,1996250.0
101126304,NOTIMEFORCOSMO,Guilherme Leite Pimentel,"Normal Superior School of Pisa [999886962,IT]",Consolidator Grants,2023,1610469.0
101076737,CeleBH,Laura Donnay,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2022,969334.0
101077500,QLR-Net,Nicolò Defenu,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2022,1497801.0
101076129,QUAVADIS,Woo Jin Kwon,"University of Milan [999995796,IT]",Starting Grants,2022,1500000.0
101087663,DANAE,Marco Vignati,"Sapienza University of Rome [999987745,IT]",Consolidator Grants,2022,2587500.0
101088394,QUINTESSEnCE,Costanza Toninelli,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2022,1999993.0
101087295,RES-NOVA,Luca Pattavina,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2022,2661005.0
101040760,FFHiggsTop,Tiziano Peraro,"University of Bologna [999993953,IT]",Starting Grants,2021,1104218.75
101055319,Supersolids,Giovanni Modugno,"University of Florence [999895789,IT]",Advanced Grants,2021,2065000.0
950692,CosmicAntiNuclei,Francesca Bellini,"University of Bologna [999993953,IT]",Starting Grants,2020,1468625.0
949438,OrbiDynaMIQs,Francesco Scazza,"University of Trieste [999842051,IT]",Starting Grants,2020,1412829.0
947715,POKER,Andrea Celentano,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2020,1484853.0
966623,DAPTOMIC,Francesco Saverio Pavone,"University of Florence [999895789,IT]",Proof of Concept,2020,150000.0
101001205,ASYMOW,Lorenzo Bianchini,"University of Pisa [999862712,IT]",Consolidator Grants,2020,1683750.0
101002207,QCDHighDensityCMS,Leticia Cunqueiro Mendez,"Sapienza University of Rome [999987745,IT]",Consolidator Grants,2020,1731406.0
848411,AuDACE,Matteo Lucchini,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2019,1466250.0
852016,SHADES,Andreas Best,"University of Naples Federico II [999976590,IT]",Starting Grants,2019,1346595.0
899912,SLAQ,Carlo Sias,"National Institute of Metrological Research [998627805,IT]",Proof of Concept,2019,150000.0
864583,NP-QFT,Francesco Benini,"International School for Advanced Studies - Trieste [999850878,IT]",Consolidator Grants,2019,1552458.0
884676,QU-BOSS,Fabio Sciarrino,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2019,2875000.0
804815,MEGANTE,Gabriele Rosi,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2018,1550000.0
804305,StrEnQTh,Philipp Hans-Jürgen Hauke,"University of Trento [999841954,IT]",Starting Grants,2018,1499563.0
813103,FESTA,Caterina Vozzi,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2018,150000.0
825879,FLUO,Dario Polli,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2018,150000.0
819627,4DPHOTON,Massimiliano Fiorini,"National Institute for Nuclear Physics - Italy [999992789,IT]",Consolidator Grants,2018,1975000.0
818744,INITIUM,Elisabetta Baracchini,"Gran Sasso Science Institute (GSSI) [917519994,IT]",Consolidator Grants,2018,1995719.0
758329,AGEnTh,Marcello Dalmonte,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2017,1055317.0
758903,CFT-MAP,Alessandro Vichi,"University of Pisa [999862712,IT]",Starting Grants,2017,1500000.0
757480,DarkGRA,Paolo Pani,"Sapienza University of Rome [999987745,IT]",Starting Grants,2017,1337480.94
780757,ElecOpteR,Daniele Sanvitto,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2017,149406.0
772099,JetDynamics,Simon David Badger,"University of Turin [999861936,IT]",Consolidator Grants,2017,1764478.0
771536,NEMO,Pasquale Calabrese,"International School for Advanced Studies - Trieste [999850878,IT]",Consolidator Grants,2017,1521423.0
771642,SELDOM,Nicola Neri,"University of Milan [999995796,IT]",Consolidator Grants,2017,1933750.0
772126,TICTOCGRAV,Nicola Poli,"University of Florence [999895789,IT]",Consolidator Grants,2017,1999011.25
