Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
875268,PROTECHT,Carlo Spartaco Casari,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2019,150000.0
875015,PROVA,Alberto Guardone,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2019,150000.0
864697,EXTREMA,Francesco Topputo,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2019,1972837.0
865633,SLIDE,Maria Clelia Righi,"University of Bologna [999993953,IT]",Consolidator Grants,2019,1403662.0
882340,Smart-TURB,Luca Biferale,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2019,2248875.0
803213,HyGate,Alberto Giacomello,"Sapienza University of Rome [999987745,IT]",Starting Grants,2018,1496250.0
803621,LINCE,Maria Rosa Antognazza,"Italian Institute of Technology [999596447,IT]",Starting Grants,2018,1866250.0
832045,BBBhybrid,Gianni Ciofani,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2018,150000.0
841640,METADESIGN,Stefano Zapperi,"University of Milan [999995796,IT]",Proof of Concept,2018,149752.5
825159,MOAB,Manuela Teresa Raimondi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2018,150000.0
840331,RESOLVE,Paolo Decuzzi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2018,150000.0
817794,METAmorphoses,Antonio Ambrosio,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2018,2745000.0
816313,PAIDEIA,Francesco Scotognella,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2018,1815445.0
759959,INTERCELLMED,Loretta Del Mercato,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2017,1050000.0
759159,LASER OPTIMAL,Paola Saccomandi,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2017,1499575.0
759467,MICRONEX,Elisa Cimetta,"University of Padua [999995602,IT]",Starting Grants,2017,1446250.0
779751,INVICTUS,Carlo Massimo Casciola,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2017,150000.0
772168,BIORECAR,Valeria Chiono,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2017,2000000.0
772261,XFab,Alessandro Molle,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2017,1998785.0
709613,SLaMM,Gianni Ciofani,"Italian Institute of Technology [999596447,IT]",Starting Grants,2016,1499997.42
727261,IDEAL SENSOR,Gian Paolo Cimellaro,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2016,150000.0
754916,INTER,Matteo Passoni,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2016,149375.0
754467,NICHOIDS,Manuela Teresa Raimondi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2016,150000.0
737447,PHYSIC,Marco Paggi,"IMT Institute for Advanced Studies Lucca [965146412,IT]",Proof of Concept,2016,149500.0
724610,EspLORE,Carlo Spartaco Casari,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2016,1981875.0
724734,MINERVA,Carmen Giordano,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2016,1999194.0
739964,COPMAT,Sauro Succi,"Italian Institute of Technology [999596447,IT]",Advanced Grants,2016,1880060.0
741273,THUNDERR,Giovanni Solari,"University of Genoa [999976687,IT]",Advanced Grants,2016,2236161.66
679086,COMPASS,Camilla Colombo,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2015,1499020.97
677423,SHAPE,Matteo Maestri,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2015,1496250.0
693670,SILKENE,Nicola Maria Mario Pugno,"University of Trento [999841954,IT]",Proof of Concept,2015,149943.75
681798,BOOST,Chiara Silvia Vitale Brovarone,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2015,1977500.0
681813,FricLess,Lucia Nicola,"University of Padua [999995602,IT]",Consolidator Grants,2015,1999985.0
682157,xPRINT,Andrea Camposeo,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2015,1993908.0
694910,INTENT,Enrico Tronconi,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2015,2484648.0
637842,IDEal reSCUE,Gian Paolo Cimellaro,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2014,1271138.0
639495,INTHERM,Alberto Fina,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2014,1404132.0
647554,ENSURE,Matteo Passoni,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2014,1887500.0
646990,NICHOID,Manuela Teresa Raimondi,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2014,1903330.0
632277,KNOTOUGH, ,"University of Trento [999841954,IT]",Proof of Concept,2013,149490.0
619448,REPLICA2, ,"University of Trento [999841954,IT]",Proof of Concept,2013,147000.0
617603,NSHOCK,Alberto Guardone,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2013,1485600.0
616695,POTENT,Paolo Decuzzi,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2013,2390000.0
617972,StruBa,Angelo Simone,"University of Padua [999995602,IT]",Consolidator Grants,2013,1968053.0
339446,BIC,Carlo Massimo Casciola,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2013,2491200.0
340561,INSTABILITIES,Davide Bigoni,"University of Trento [999841954,IT]",Advanced Grants,2013,2379359.0
340685,MicroMotility,Antonio De Simone,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2013,1302270.0
339032,NewTURB,Luca Biferale,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2013,1986000.0
306622,CA2PVM,Marco Paggi,"IMT Institute for Advanced Studies Lucca [965146412,IT]",Starting Grants,2012,1483980.0
308261,MORPHOSIS,Giulia Lanzara,"University of Rome - Roma Tre [999866107,IT]",Starting Grants,2012,1664600.0
306357,NANO-JETS,Dario Pisignano,"University of Salento [999863585,IT]",Starting Grants,2012,1491823.0
279985,BIHSNAM,Nicola Pugno,"University of Trento [999841954,IT]",Starting Grants,2011,1004400.0
291002,SIZEFFECTS,Stefano Zapperi,"University of Milan [999995796,IT]",Advanced Grants,2011,2500000.0
259229,ISOBIO,Alessandro Reali,"University of Pavia [999893752,IT]",Starting Grants,2010,1195200.0
101163912,GravitySirens,Simone Mastrogiovanni,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2024,1488096.0
101169773,BELOVED,Annalisa Bonafede,"University of Bologna [999993953,IT]",Consolidator Grants,2024,1856133.0
101116226,GalFlow,Mattia Carlo Sormani,"University of Insubria [999855243,IT]",Starting Grants,2023,1499281.0
101116027,RELiCS,Martina Gerbino,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2023,1498451.0
101117455,TREASURES,Ása Skúladóttir,"University of Florence [999895789,IT]",Starting Grants,2023,1500000.0
101142079,PINGU,Alberto Sesana,"University of Milan -  Bicocca [999923531,IT]",Advanced Grants,2023,2291444.0
101141533,SWIM,Elena Pettinelli,"University of Rome - Roma Tre [999866107,IT]",Advanced Grants,2023,3176790.0
101076080,Red Cardinal,Sirio Belli,"University of Bologna [999993953,IT]",Starting Grants,2022,1270668.0
101076613,UNVEIL,Stefano Facchini,"University of Milan [999995796,IT]",Starting Grants,2022,1498850.0
101086804,BlackHoleWeather,Massimo Gaspari,"University of Modena and Reggio Emilia [999840887,IT]",Consolidator Grants,2022,1999956.0
101086378,ULU,Francesco De Gasperin,"National Institute for Astrophysics - Italy [999868920,IT]",Consolidator Grants,2022,1996250.0
101096035,POLOCALC,Federico Nati,"University of Milan -  Bicocca [999923531,IT]",Advanced Grants,2022,2418281.0
101093572,StarDance,Elena Pancino,"National Institute for Astrophysics - Italy [999868920,IT]",Advanced Grants,2022,2492250.0
101039651,DiscEvol,Giovanni Rosotti,"University of Milan [999995796,IT]",Starting Grants,2021,1495755.0
101040751,MW-WINDS,Enrico Di Teodoro,"University of Florence [999895789,IT]",Starting Grants,2021,1026250.0
101040227,WINGS,Stefano Carniani,"Normal Superior School of Pisa [999886962,IT]",Starting Grants,2021,1199519.0
945155,GWmining,Davide Gerosa,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2020,1499917.0
101002761,BHianca,Eleonora Troja,"University of Rome - Tor Vergata [999844864,IT]",Consolidator Grants,2020,1974000.0
864361,CosmicWeb,Sebastiano Cantalupo,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2019,2000000.0
865637,Hot Milk,Gabriele Ponti,"National Institute for Astrophysics - Italy [999868920,IT]",Consolidator Grants,2019,1989375.0
804240,NEFERTITI,Stefania Salvadori,"University of Florence [999895789,IT]",Starting Grants,2018,1180813.0
818691,B Massive,Alberto Sesana,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2018,1532750.0
815673,GRAMS,Enrico Barausse,"International School for Advanced Studies - Trieste [999850878,IT]",Consolidator Grants,2018,1993920.0
833824,GASP,Bianca Maria Poggianti,"National Institute for Astrophysics - Italy [999868920,IT]",Advanced Grants,2018,2498237.5
757535,FEEDGALAXIES,Michele Fumagalli,"University of Milan -  Bicocca [999923531,IT]",Starting Grants,2017,1499557.0
772293,Asterochronometry,Andrea Miglio,"University of Bologna [999993953,IT]",Consolidator Grants,2017,1958863.0
716762,ClustersXCosmo,Alexandro Saro,"University of Trieste [999842051,IT]",Starting Grants,2016,1230403.0
714245,DRANOEL,Annalisa Bonafede,"University of Bologna [999993953,IT]",Starting Grants,2016,1496250.0
716082,GALFOR,Antonino Milone,"University of Padua [999995602,IT]",Starting Grants,2016,717246.0
714196,MAGCOW,Franco Vazza,"University of Bologna [999993953,IT]",Starting Grants,2016,1465943.0
740120,INTERSTELLAR,Andrea Ferrara,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2016,2151875.0
679627,Fornax,Paolo Serra,"National Institute for Astrophysics - Italy [999868920,IT]",Starting Grants,2015,1500000.0
638809,AIDA,Andrei Albert Mesinger,"Normal Superior School of Pisa [999886962,IT]",Starting Grants,2014,1468750.0
615604,STARKEY,Paola Marigo,"University of Padua [999995602,IT]",Consolidator Grants,2013,1930628.0
306476,FIRST,Raffaella Schneider,"National Institute for Astrophysics - Italy [999868920,IT]",Starting Grants,2012,882807.6
291521,DARKLIGHT,Luigi Guzzo,"University of Milan [999995796,IT]",Advanced Grants,2011,1723600.0
257670,cosmoIGM,Matteo Viel,"National Institute for Astrophysics - Italy [999868920,IT]",Starting Grants,2010,891400.0
259349,GLENCO,Robert Benton Metcalf,"University of Bologna [999993953,IT]",Starting Grants,2010,1500000.0
267675,Cosmic-Lab,Francesco Ferraro,"University of Bologna [999993953,IT]",Advanced Grants,2010,1880000.0
202680,RareNoise,Livia Conti,"National Institute for Nuclear Physics - Italy [999992789,IT]",Starting Grants,2007,1000000.0
202781,StGDeLucia2007,Gabriella De Lucia,"National Institute for Astrophysics - Italy [999868920,IT]",Starting Grants,2007,750000.0
101164784,CHAIN,Carlo Schwarz,"Bocconi University Milan [999838850,IT]",Starting Grants,2024,1491649.0
101165373,DynamicInfoAsym,Esat Doruk Cetemen,"University of Social Studies - Rome [999914510,IT]",Starting Grants,2024,1136046.0
101171473,WeSET,Thomas Le Barbanchon,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2024,1721563.0
101116015,DIGIDEV,Erika Deserranno,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1498500.0
101115804,FINDEV,Nicola Limodio,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1496312.5
101117032,Persistence,Katerina Petrova,"University of Venice [999897341,IT]",Starting Grants,2023,664850.0
101117537,SOFIA,Michela Carlana,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1499875.0
101116966,SOME,Luca Braghieri,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1494625.0
101142844,TRAITS-GAMES,Pierpaolo Battigalli,"Bocconi University Milan [999838850,IT]",Advanced Grants,2023,1874575.0
101075924,NTAOTC,Florian Nagler,"Bocconi University Milan [999838850,IT]",Starting Grants,2022,1416812.5
101087978,GEM,Luigi Iovino,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2022,1532955.0
101088889,ROOTS,Luigi Pascali,"University of Social Studies - Rome [999914510,IT]",Consolidator Grants,2022,748079.0
101098332,AI-Comp,Emilio Calvano,"University of Social Studies - Rome [999914510,IT]",Advanced Grants,2022,1877793.0
101097687,MARKINDOWN,Tito Boeri,"Bocconi University Milan [999838850,IT]",Advanced Grants,2022,1859312.5
101097578,MemDec,Nicola Gennaioli,"Bocconi University Milan [999838850,IT]",Advanced Grants,2022,1936400.0
101042055,EDIPO,Mara Pasquamaria Squicciarini,"Bocconi University Milan [999838850,IT]",Starting Grants,2021,1463212.5
101054421,DCS,Francesco Lippi,"University of Social Studies - Rome [999914510,IT]",Advanced Grants,2021,1447893.0
101055295,InfoEcoScience,Marco Ottaviani,"Bocconi University Milan [999838850,IT]",Advanced Grants,2021,1461050.0
101002867,CoDiM,Francesco Decarolis,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2020,1721425.0
101021061,SAIM,Alfonso Gambardella,"Bocconi University Milan [999838850,IT]",Advanced Grants,2020,1978213.0
853123,DIPVAR,Özlem Bedre-Defolie,"European School of Management and Technology (ESMT Berlin) [997865967,DE]",Starting Grants,2019,1493231.25
852172,HarmfulTraditions,Lucia Corno,"University Cattolica (UCSC) [999915771,IT]",Starting Grants,2019,1389687.5
852526,POPULIZATION,Salvatore Nunnari,"Bocconi University Milan [999838850,IT]",Starting Grants,2019,1415760.0
866181,CLEAN,Paolo Pinotti,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2019,1770838.0
835201,ISEProD,Fabiano Schivardi,"University of Social Studies - Rome [999914510,IT]",Advanced Grants,2018,1944581.0
758190,ESEARCH,Thomas Le Barbanchon,"Bocconi University Milan [999838850,IT]",Starting Grants,2017,1250250.0
789049,MIMAT,Gianmarco Ottaviano,"Bocconi University Milan [999838850,IT]",Advanced Grants,2017,1335693.75
741643,EUROPOPULISM,Guido Enrico Tabellini,"Bocconi University Milan [999838850,IT]",Advanced Grants,2016,1276250.0
676846,MACROPMF,Luigi Paciello,"Einaudi Institute for Economic and Finance [996113953,IT]",Starting Grants,2015,1192000.0
679217,REPCOR,Francesco Decarolis,"Bocconi University Milan [999838850,IT]",Starting Grants,2015,1046850.0
679949,SDDM-TEA,Simone Cerreia Vioglio,"Bocconi University Milan [999838850,IT]",Starting Grants,2015,667875.0
694882,ASNODEV,Eliana La Ferrara,"Bocconi University Milan [999838850,IT]",Advanced Grants,2015,1618125.0
694583,PolEc,Massimo Morelli,"Bocconi University Milan [999838850,IT]",Advanced Grants,2015,1540625.0
648833,POLITICALMIND,Tommaso Nannicini,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2014,1375869.0
647782,SalThApp,Nicola Gennaioli,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2014,1431650.0
670337,INDIMACRO,Massimo Marinacci,"Bocconi University Milan [999838850,IT]",Advanced Grants,2014,1394716.0
616155,InfoAsymMarkets,Donato (Dino) Gerardi,"Carlo Alberto College -  Turin [998140477,IT]",Consolidator Grants,2013,827410.0
614879,MONPMOD,Pierpaolo Benigno,"University of Social Studies - Rome [999914510,IT]",Consolidator Grants,2013,837680.0
313671,RESOCONBUCY,Fabrizio Perri,"Bocconi University Milan [999838850,IT]",Starting Grants,2012,1098800.0
324008,MEF,Francesco Lippi,"Einaudi Institute for Economic and Finance [996113953,IT]",Advanced Grants,2012,1946788.0
324219,STRATEMOTIONS,Pierpaolo Lorenzo Aurelio Battigalli,"Bocconi University Milan [999838850,IT]",Advanced Grants,2012,1210000.0
283483,FINIMPMACRO,Tommaso Monacelli,"Bocconi University Milan [999838850,IT]",Starting Grants,2011,778800.0
284119,LaborHeterogeneity, ,"European University Institute [999902385,IT]",Starting Grants,2011,1170000.0
283454,NETWORKS,Andrea Galeotti,"European University Institute [999902385,IT]",Starting Grants,2011,944259.8
284024,NSND,Luigi Pistaferri,"Einaudi Institute for Economic and Finance [996113953,IT]",Starting Grants,2011,1480022.0
295710,ECONOMICHISTORY,"Maristella Botticini, Zvi Eckstein","Bocconi University Milan [999838850,IT], Bocconi University Milan [999838850,IT]",Advanced Grants,2011,1113900.0
293692,ESEMO,Claudio Michelacci,"Einaudi Institute for Economic and Finance [996113953,IT]",Advanced Grants,2011,1659169.0
295835,EVALIDEA,Marco Maria Ottaviani,"Bocconi University Milan [999838850,IT]",Advanced Grants,2011,1142200.0
295709,FINLAB,Marco Pagano,"University of Naples Federico II [999976590,IT]",Advanced Grants,2011,1873800.0
241114,Inst&Glob,Nicola Gennaioli,"Bocconi University Milan [999838850,IT]",Starting Grants,2009,1002000.0
240819,MACROMOD,Pierpaolo Benigno,"University of Social Studies - Rome [999914510,IT]",Starting Grants,2009,648000.0
241196,STRANGERS,Marco Casari,"University of Bologna [999993953,IT]",Starting Grants,2009,769090.0
230367,BRSCDP-TEA,Massimo Marinacci,"Bocconi University Milan [999838850,IT]",Advanced Grants,2008,1399800.0
230088,Institutions,Guido Tabellini,"Bocconi University Milan [999838850,IT]",Advanced Grants,2008,1068000.0
208661,CIDAM,Eliana La Ferrara,"Bocconi University Milan [999838850,IT]",Starting Grants,2007,429480.0
101164328,P-AGE,Xenia Chiaramonte,"University of Venice [999897341,IT]",Starting Grants,2024,1499049.0
101142666,PIANO,Bernard Hoekman,"European University Institute [999902385,IT]",Advanced Grants,2023,2499865.0
101078683,ACCESS,Madalina Moraru,"University of Bologna [999993953,IT]",Starting Grants,2022,1499788.0
101076616,HABITAT,Alessio Sardo,"University of Genoa [999976687,IT]",Starting Grants,2022,1497340.0
101088868,POSTNORM,Elias - Ilias Dinas - Ntinas,"European University Institute [999902385,IT]",Consolidator Grants,2022,1896800.0
101097740,GLOBAL,Daniele Caramani,"European University Institute [999902385,IT]",Advanced Grants,2022,2499931.0
101044015,MENA-PERC,Kevin Koehler,"Superior School Sant'Anna [999884731,IT]",Consolidator Grants,2021,1915601.0
101055185,HyperModeLex,Monica Palmirani,"University of Bologna [999993953,IT]",Advanced Grants,2021,2494509.0
853487,2D4D,Elena Verdolini,"University of Brescia [999893946,IT]",Starting Grants,2019,1498375.0
851940,RadicalHOUSING,Michele Lancione,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2019,1499791.0
853050,SMOOTH,Emanuele Campiglio,"University of Bologna [999993953,IT]",Starting Grants,2019,1499956.0
864687,LOSS,Catherine De Vries - Netjes,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2019,1993518.0
885026,TRANSNATIONAL,Elisabeth Hooghe,"European University Institute [999902385,IT]",Advanced Grants,2019,2498412.0
802362,BIT-ACT,Alice Mattoni,"University of Bologna [999993953,IT]",Starting Grants,2018,1489115.0
833647,CompuLaw,Giovanni Sartor,"University of Bologna [999993953,IT]",Advanced Grants,2018,2273550.0
756194,ENERGYA,Enrica De Cian,"University of Venice [999897341,IT]",Starting Grants,2017,1495000.0
716350,GlobalCitizenshipLaw,Liav Orgad,"European University Institute [999902385,IT]",Starting Grants,2016,1499588.0
678783,DomEQUAL,Sabrina Marchetti,"University of Venice [999897341,IT]",Starting Grants,2015,1199976.0
678456,HOMInG,Paolo Boccagni,"University of Trento [999841954,IT]",Starting Grants,2015,1499678.0
682626,MiLifeStatus,Maarten Vink,"European University Institute [999902385,IT]",Consolidator Grants,2015,1799034.44
694697,CoCEAL,Giacinto Della Cananea,"Bocconi University Milan [999838850,IT]",Advanced Grants,2015,1254105.0
694145,IFAMID,Arnstein Aassve,"Bocconi University Milan [999838850,IT]",Advanced Grants,2015,1850820.0
694632,PROTEGO,Claudio Radaelli,"European University Institute [999902385,IT]",Advanced Grants,2015,1792778.0
638259,EUBorderCare,Vanessa Elisa Grotti,"University of Bologna [999993953,IT]",Starting Grants,2014,1498463.0
639284,INTERACT,Delia Stefania Baldassarri,"Bocconi University Milan [999838850,IT]",Starting Grants,2014,969100.0
340956,IOW,Jennifer Mary Welsh,"European University Institute [999902385,IT]",Advanced Grants,2013,2397577.0
340430,MIGPROSP,Andrew Peter Geddes,"European University Institute [999902385,IT]",Advanced Grants,2013,2127926.0
338875,POLCON,Hans Peter Kriesi,"European University Institute [999902385,IT]",Advanced Grants,2013,2488200.0
340534,REScEU,Maurizio Ferrera,"University of Milan [999995796,IT]",Advanced Grants,2013,2496904.0
295675,WillingToPay,Sven Holger Steinmo,"European University Institute [999902385,IT]",Advanced Grants,2011,2491135.0
263277,BORDERLANDS,Raffaella Alessandra Del Sarto,"European University Institute [999902385,IT]",Starting Grants,2010,1353920.0
262873,COD,Giovanni Marco Carbone,"University of Milan [999995796,IT]",Starting Grants,2010,322283.6
263183,FAMINE,Stefani Scherer,"University of Trento [999841954,IT]",Starting Grants,2010,478494.0
269568,eduLIFE,Hans-Peter Blossfeld,"European University Institute [999902385,IT]",Advanced Grants,2010,2488360.0
269722,ERPL,Hans-Wolfgang Micklitz-Roessler,"European University Institute [999902385,IT]",Advanced Grants,2010,2097840.0
269136,Mobilizing4democracy,Donatella Alessandra Della Porta,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2010,1747200.0
269860,RELIGIOWEST,Olivier Patrick Michel Roy,"European University Institute [999902385,IT]",Advanced Grants,2010,1895232.0
101170767,UNDERGOV,Luigi Achilli,"Superior School Sant'Anna [999884731,IT]",Consolidator Grants,2024,1999392.0
101116718,NEMESIS,Daniele Durante,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1498794.0
101117327,WeEqualize,Léa Pessin,"European University Institute [999902385,IT]",Starting Grants,2023,1499146.0
101076713,PregDaT,Giulia Zanini,"University of Venice [999897341,IT]",Starting Grants,2022,1497984.0
101088949,CowDom,Valentina Bonifacio,"University of Venice [999897341,IT]",Consolidator Grants,2022,1611768.0
101086663,EDUPOL,Moris Triventi,"University of Milan [999995796,IT]",Consolidator Grants,2022,1930120.0
101039655,ExpPov,Zachary Parolin,"Bocconi University Milan [999838850,IT]",Starting Grants,2021,1393425.0
101042882,F-WORD,Maddalena Gretel Cammelli,"University of Turin [999861936,IT]",Starting Grants,2021,1114266.0
101041908,TARGETS,Valentina Di Stasio,"European University Institute [999902385,IT]",Starting Grants,2021,1499290.0
948982,CRAFTWORK,Alessandro Gandini,"University of Milan [999995796,IT]",Starting Grants,2020,1152170.0
101002163,IDENTITIES,Elisabetta Crocetti,"University of Bologna [999993953,IT]",Consolidator Grants,2020,1990015.0
101003183,IMMUNE,Alessia Melegaro,"Bocconi University Milan [999838850,IT]",Consolidator Grants,2020,1986437.0
101002973,POPCLIMA,Raya Muttarak,"University of Bologna [999993953,IT]",Consolidator Grants,2020,1569500.0
853033,DESPO,Anne-Marie Jeannet,"University of Milan [999995796,IT]",Starting Grants,2019,1106528.0
865356,GENPOP,Nicola Barban,"University of Bologna [999993953,IT]",Consolidator Grants,2019,1985705.98
882276,WellSIRe,Antonie Hemerijck,"European University Institute [999902385,IT]",Advanced Grants,2019,1872200.0
714463,ProcessCitizenship,Annalisa Pelizza,"University of Bologna [999993953,IT]",Starting Grants,2016,1498613.75
715950,SHARE,Annalisa Murgia,"University of Milan [999995796,IT]",Starting Grants,2016,1258250.0
725961,EU-FER,Daniele Vignoli,"University of Florence [999895789,IT]",Consolidator Grants,2016,1689272.0
694262,DisCont,Francesco Candeloro Billari,"Bocconi University Milan [999838850,IT]",Advanced Grants,2015,2400555.0
647473,CWASI,Francesco Laio,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2014,1222500.0
336155,COBHAM,Massimo Tavoni,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2013,1451840.0
336703,RISICO,Valentina Bosetti,"Bocconi University Milan [999838850,IT]",Starting Grants,2013,1146002.0
313590,HRES,David Stuckler,"Bocconi University Milan [999838850,IT]",Starting Grants,2012,1358013.0
313532,SESandHealth,Rasmus Hoffmann,"European University Institute [999902385,IT]",Starting Grants,2012,928631.14
313617,SWELL-FER,Letizia Mencarini,"Bocconi University Milan [999838850,IT]",Starting Grants,2012,1052053.0
283955,DECIDE,Alessia Melegaro,"Bocconi University Milan [999838850,IT]",Starting Grants,2011,1210000.0
240895,ICARUS,Valentina Bosetti,"Foundation Eni Enrico Mattei [999771144,IT]",Starting Grants,2009,920000.0
201194,CODEC,Arnstein Aassve,"Bocconi University Milan [999838850,IT]",Starting Grants,2007,750000.0
101189387,ARIEL,Alessandra Sciutti,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2024,150000.0
101189208,TaGaDeDys,Giorgio Vallortigara,"University of Trento [999841954,IT]",Proof of Concept,2024,150000.0
101170249,PredActive,Paola Binda,"University of Pisa [999862712,IT]",Consolidator Grants,2024,1999500.0
101116774,InqML,Ivano Alessandro Ciardelli,"University of Padua [999995602,IT]",Starting Grants,2023,971310.0
101116408,OutOfSpace,Luca Rinaldi,"University of Pavia [999893752,IT]",Starting Grants,2023,1499688.0
101158070,AUTISMUS,Giacomo Novembre,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101138734,BRAINmade,Viviana Betti,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2023,150000.0
101138232,DeepDive,Salvatore Maria Aglioti,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2023,150000.0
101155938,RONIN,Agnieszka Anna Wykowska,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101125658,ATCOM,Roberto Bottini,"University of Trento [999841954,IT]",Consolidator Grants,2023,1999358.0
101078497,MyFirstBody,Francesca Garbarini,"University of Turin [999861936,IT]",Starting Grants,2022,1325060.0
101062237,iReach,Monica Gori,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
101087263,AUTISMS-3D,Michael Lombardo,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2022,1999750.0
101087053,BraveNewWord,Marco Marelli,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2022,1387005.0
101098102,DiLaDi,Béla Adamik,"Hungarian Research Centre for Linguistics [999532912,HU], University of Venice [999897341,IT]",Advanced Grants,2022,2337500.0
101096728,ROOMors,Umberto Castiello,"University of Padua [999995602,IT]",Advanced Grants,2022,3148411.0
101039206,ATENA,Maddalena Boccia,"Sapienza University of Rome [999987745,IT]",Starting Grants,2021,1499718.0
101042701,DECOMPOSE,Ioana Cristea,"University of Padua [999995602,IT]",Starting Grants,2021,1497500.0
101043216,IN-MIND,Silvia Elena Benavides Varela,"University of Padua [999995602,IT]",Starting Grants,2021,1499798.0
101041885,TOHR,Andrea Ravignani,"Sapienza University of Rome [999987745,IT]",Starting Grants,2021,1496294.0
101042625,UnaWireD,Giovanna Zamboni,"University of Modena and Reggio Emilia [999840887,IT]",Starting Grants,2021,1213888.0
101045733,PROMENADE,Valentina Bambini,"University School for Advanced Studies IUSS Pavia [997963355,IT]",Consolidator Grants,2021,1854188.0
948186,MUSICOM,Giacomo Novembre,"Italian Institute of Technology [999596447,IT]",Starting Grants,2020,1499562.0
948349,MYSpace,Monica Gori,"Italian Institute of Technology [999596447,IT]",Starting Grants,2020,1500000.0
948891,TweakDreams,Giulio Bernardi,"IMT Institute for Advanced Studies Lucca [965146412,IT]",Starting Grants,2020,1488270.0
804422,NOAM,Roberto Bottini,"University of Trento [999841954,IT]",Starting Grants,2018,1498644.0
801715,PUPILTRAITS,Paola Binda,"University of Pisa [999862712,IT]",Starting Grants,2018,1490375.0
804388,wHiSPER,Alessandra Sciutti,"Italian Institute of Technology [999596447,IT]",Starting Grants,2018,1749375.0
842243,NeuroSoNew,Giorgio Vallortigara,"University of Trento [999841954,IT]",Proof of Concept,2018,149945.0
820213,ThinkAhead,Giovanni Pezzulo,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2018,1898757.0
832813,GenPercept,David Burr,"University of Florence [999895789,IT]",Advanced Grants,2018,2480969.38
