Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
101116856,ROBOFLUID,Vito Cacucciolo,Politecnico di BARI,1,Starting Grants,2023,1498750.0
101157307,MYTI,Christian Cipriani,Scuola Superiore Sant'Anna,1,Proof of Concept,2023,150000.0
101125923,QuNIm,Lucia Caspani,INSUBRIA,1,Consolidator Grants,2023,1979704.0
101141351,COMPACT,Alberto Bemporad,Scuola IMT Alti Studi LUCCA,1,Advanced Grants,2023,2499375.0
101139828,HYPERSPIM,Claudio Conti,"ROMA ""La Sapienza""",1,Advanced Grants,2023,2490000.0
101078411,FIND-OUT,Stefania Bartoletti,"ROMA ""Tor Vergata""",1,Starting Grants,2022,1019000.0
101076926,INSPIRE,Giulia Giordano,TRENTO,1,Starting Grants,2022,1500000.0
101077917,QOMUNE,Davide Bacco,FIRENZE,1,Starting Grants,2022,1498750.0
101081871,MULTIBRIDGE,Stefan Wabnitz,"ROMA ""La Sapienza""",1,Proof of Concept,2022,150000.0
101069279,PROCT,Paolo Fiorini,VERONA,1,Proof of Concept,2022,150000.0
101069299,SHANNON,Daniele Ielmini,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
101045605,INcEPTION,Francesco Negro,BRESCIA,1,Consolidator Grants,2021,1999533.75
101054098,ANIMATE,Daniele Ielmini,Politecnico di MILANO,1,Advanced Grants,2021,2498868.0
948590,CELLOIDS,Stefano Palagi,Scuola Superiore Sant'Anna,1,Starting Grants,2020,1499375.0
963463,ALPI,Lorenzo Pavesi,TRENTO,1,Proof of Concept,2020,150000.0
966722,Preprint,Gianluca Fiori,PISA,1,Proof of Concept,2020,150000.0
963893,STIMBOY,Giovanni Di Pino,"Univ. ""Campus Bio-Medico"" di ROMA",1,Proof of Concept,2020,150000.0
875523,PROST,Paolo Fiorini,VERONA,1,Proof of Concept,2019,150000.0
874596,WAVESCOPE,Stefan Wabnitz,"ROMA ""La Sapienza""",1,Proof of Concept,2019,150000.0
842472,CIRCUS,Daniele Ielmini,Politecnico di MILANO,1,Proof of Concept,2018,149463.75
770047,PEP2D,Gianluca Fiori,PISA,1,Consolidator Grants,2017,1883868.0
788793,BACKUP,Lorenzo Pavesi,TRENTO,1,Advanced Grants,2017,2499825.0
724846,321,Francesco Paolo Andriulli,Politecnico di TORINO,1,Consolidator Grants,2016,2000000.0
742671,ARS,Paolo Fiorini,VERONA,1,Advanced Grants,2016,2750000.0
740355,STEMS,Stefan Wabnitz,"ROMA ""La Sapienza""",1,Advanced Grants,2016,2084180.82
679820,MYKI,Christian Cipriani,Scuola Superiore Sant'Anna,1,Starting Grants,2015,1475269.0
678908,RESHAPE,Giovanni Di Pino,"Univ. ""Campus Bio-Medico"" di ROMA",1,Starting Grants,2015,1490750.0
638992,OPT4SMART,Giuseppe Notarstefano,BOLOGNA,1,Starting Grants,2014,1488750.0
665421,ToothPic,Enrico Magli,Politecnico di TORINO,1,Proof of Concept,2014,149526.0
648635,RESCUE,Daniele Ielmini,Politecnico di MILANO,1,Consolidator Grants,2014,1998113.12
279848,CRISP,Enrico Magli,Politecnico di TORINO,1,Starting Grants,2011,1390000.0
240555,VISION,Dajana Cassioli,L'AQUILA,1,Starting Grants,2009,1173680.0
101163880,AMF,Luca Fortunato,Napoli Federico II,1,Starting Grants,2024,1412500.0
101162848,BREAKDOWN,Enrico Salvati,UDINE,1,Starting Grants,2024,1499954.0
101163330,E-Nucl,Mirko Gallo,"ROMA ""La Sapienza""",1,Starting Grants,2024,1499875.0
101165321,HYPOR,Aronne Dell'Oca,Politecnico di MILANO,1,Starting Grants,2024,1482520.0
101162753,PROTEGO,Giulia Luraghi,Politecnico di MILANO,1,Starting Grants,2024,1498295.0
101189358,AXESS,Francesco Topputo,Politecnico di MILANO,1,Proof of Concept,2024,150000.0
101188238,CATSYNEX,Gianvito Vile,Politecnico di MILANO,1,Proof of Concept,2024,150000.0
101188904,Core,Sara Bagherifard,Politecnico di MILANO,1,Proof of Concept,2024,150000.0
101213773,GINNY,Federico Bella,Politecnico di TORINO,1,Proof of Concept,2024,150000.0
101189244,NewOilFactory,Elena Simone,Politecnico di TORINO,1,Proof of Concept,2024,150000.0
101170592,MiGEM,Alessio Gizzi,"Univ. ""Campus Bio-Medico"" di ROMA",1,Consolidator Grants,2024,2000000.0
101114664,CIRCULARIZE,Alessandro Pellis,GENOVA,1,Starting Grants,2023,1500000.0
101115741,DANTE,Giovanni Stabile,Scuola Superiore Sant'Anna,1,Starting Grants,2023,1450560.0
101116811,MINIONS,Chiara Paganelli,Politecnico di MILANO,1,Starting Grants,2023,1487676.0
101117759,OriSha,Onelia Gagliano,PADOVA,1,Starting Grants,2023,1499633.0
101158013,ARACHNID,Elisa Cimetta,PADOVA,1,Proof of Concept,2023,150000.0
101158332,EMPATIC,Valeria Chiono,Politecnico di TORINO,1,Proof of Concept,2023,150000.0
101158039,hiPSCmore,Francesco Pasqualini,PAVIA,1,Proof of Concept,2023,150000.0
101123385,INCANT,Enrico Tronconi,Politecnico di MILANO,1,Proof of Concept,2023,150000.0
101123099,Smart Skin,Anna Maria Coclite,BARI,1,Proof of Concept,2023,150000.0
101126209,3D.FETOPRINT,Alessandro Filippo Maria Pellegata,Politecnico di MILANO,1,Consolidator Grants,2023,1972500.0
101125466,Epeius,Michele Conti,PAVIA,1,Consolidator Grants,2023,1991225.0
101140720,IMMENSE,Alberto Corigliano,Politecnico di MILANO,1,Advanced Grants,2023,2500000.0
101077146,EvOoC,Paola Occhetta,Politecnico di MILANO,1,Starting Grants,2022,2430625.0
101075903,LINING,Francesco Avallone,Politecnico di TORINO,1,Starting Grants,2022,1499069.0
101075832,SAC_2.0,Gianvito Vile,Politecnico di MILANO,1,Starting Grants,2022,1499681.0
101077758,TRACES,Fabio Ferrari,Politecnico di MILANO,1,Starting Grants,2022,1499750.0
101112677,CATALYSE,Matteo Maestri,Politecnico di MILANO,1,Proof of Concept,2022,150000.0
